order_id,customer_id,order_date,order_status,payment_method,total_amount
ORD000050,CUST00020,2025-10-11,completed,NetBanking,3398
ORD000051,CUST00020,2025-07-29,completed,NetBanking,6998
ORD000052,CUST00021,2025-08-10,cancelled,UPI,2498
ORD000053,CUST00021,2025-05-05,completed,COD,2298
ORD000054,CUST00021,2026-01-25,completed,COD,4898
ORD000055,CUST00021,2025-11-19,completed,COD,6498
ORD000056,CUST00021,2026-01-13,completed,UPI,2498
ORD000057,CUST00021,2025-04-21,completed,UPI,2499
ORD000058,CUST00021,2025-06-21,completed,COD,5997
ORD000059,CUST00022,2025-08-06,completed,Card,1998
ORD000060,CUST00022,2026-07-05,completed,UPI,4997
ORD000061,CUST00022,2025-12-07,completed,NetBanking,2499
ORD000062,CUST00022,2025-10-11,completed,COD,3498
ORD000063,CUST00022,2025-06-15,cancelled,NetBanking,999
ORD000064,CUST00022,2025-11-06,completed,COD,2698
ORD000065,CUST00022,2025-07-20,completed,COD,2499
ORD000066,CUST00025,2026-01-01,completed,NetBanking,2499
ORD000067,CUST00026,2026-04-23,completed,UPI,6797
ORD000068,CUST00028,2026-03-01,returned,COD,499
ORD000069,CUST00029,2026-06-08,completed,COD,3999
ORD000070,CUST00029,2025-09-03,completed,NetBanking,5797
ORD000071,CUST00030,2026-04-09,completed,UPI,6697
ORD000072,CUST00030,2026-07-30,completed,NetBanking,3999
ORD000073,CUST00031,2026-01-01,completed,UPI,2999
ORD000074,CUST00031,2026-05-14,cancelled,COD,4997
ORD000075,CUST00031,2025-12-04,completed,UPI,5498
ORD000076,CUST00032,2026-03-06,completed,COD,1198
ORD000077,CUST00033,2026-06-26,completed,UPI,3798
ORD000078,CUST00034,2025-11-28,completed,UPI,2298
ORD000079,CUST00034,2026-02-18,completed,UPI,3999
ORD000080,CUST00034,2025-06-21,completed,NetBanking,2298
ORD000081,CUST00034,2025-11-02,completed,Card,2198
ORD000082,CUST00034,2025-08-25,completed,Card,3698
ORD000083,CUST00035,2026-02-14,completed,NetBanking,5798
ORD000084,CUST00036,2026-03-19,completed,Card,1299
ORD000085,CUST00036,2026-03-11,returned,COD,2698
ORD000086,CUST00036,2026-03-06,cancelled,Card,2499
ORD000087,CUST00036,2025-11-24,completed,Card,2499
ORD000088,CUST00036,2025-10-05,completed,UPI,3198
ORD000089,CUST00037,2026-06-20,completed,COD,5798
ORD000090,CUST00037,2026-07-14,completed,NetBanking,7497
ORD000091,CUST00037,2026-02-12,returned,UPI,5797
ORD000092,CUST00037,2026-06-16,completed,UPI,3999
ORD000093,CUST00037,2026-06-15,completed,COD,2499
ORD000094,CUST00038,2025-04-06,cancelled,COD,3198
ORD000095,CUST00038,2025-08-30,cancelled,NetBanking,5298
ORD000096,CUST00038,2025-10-29,completed,Card,1498
ORD000097,CUST00038,2026-05-13,completed,COD,4997
ORD000098,CUST00038,2025-04-29,completed,Card,6498
ORD000099,CUST00038,2026-02-17,completed,NetBanking,2499
ORD000100,CUST00039,2025-09-11,completed,COD,2497
ORD000101,CUST00039,2025-10-17,completed,NetBanking,2698
ORD000102,CUST00039,2026-08-15,returned,COD,2998
ORD000103,CUST00039,2026-03-09,completed,Card,3798
ORD000104,CUST00040,2026-04-30,completed,COD,4698
ORD000105,CUST00042,2026-05-14,cancelled,Card,3798
ORD000106,CUST00042,2025-05-17,completed,COD,5298
ORD000107,CUST00042,2025-07-29,completed,NetBanking,2798
ORD000108,CUST00042,2026-03-22,cancelled,UPI,3698
ORD000109,CUST00042,2026-08-16,completed,Card,2999
ORD000110,CUST00045,2026-03-27,cancelled,UPI,5498
ORD000111,CUST00046,2025-09-28,completed,COD,4898
ORD000112,CUST00046,2026-05-14,completed,COD,4698
ORD000113,CUST00046,2025-07-16,completed,Card,1499
ORD000114,CUST00046,2025-11-04,completed,COD,3999
ORD000115,CUST00046,2025-08-21,completed,COD,499
ORD000116,CUST00046,2026-04-09,cancelled,COD,3398
ORD000117,CUST00046,2026-07-08,completed,UPI,3997
ORD000118,CUST00046,2026-07-08,completed,UPI,999
ORD000119,CUST00047,2026-07-24,completed,NetBanking,1499
ORD000120,CUST00048,2025-06-14,completed,Card,2499
ORD000121,CUST00049,2026-04-01,completed,NetBanking,1698
ORD000122,CUST00049,2025-06-20,completed,NetBanking,2998
ORD000123,CUST00049,2025-04-03,returned,NetBanking,2499
ORD000124,CUST00049,2025-07-12,completed,UPI,3398
ORD000125,CUST00049,2026-03-18,completed,UPI,4797
ORD000126,CUST00050,2026-06-17,completed,UPI,2499
ORD000127,CUST00050,2025-11-10,completed,COD,2999
ORD000128,CUST00050,2025-03-04,completed,COD,2499
ORD000129,CUST00051,2026-03-11,completed,Card,899
ORD000130,CUST00053,2026-03-12,completed,COD,5397
ORD000131,CUST00054,2026-03-06,completed,NetBanking,4698
ORD000132,CUST00054,2026-03-22,completed,UPI,2999
ORD000133,CUST00054,2025-08-14,completed,UPI,1798
ORD000134,CUST00054,2026-02-02,completed,Card,2698
ORD000135,CUST00054,2026-02-11,completed,COD,5798
ORD000136,CUST00057,2025-03-28,completed,NetBanking,1799
ORD000137,CUST00059,2025-05-15,completed,NetBanking,999
ORD000138,CUST00059,2025-06-04,returned,Card,6997
ORD000139,CUST00060,2026-06-02,completed,COD,3498
ORD000140,CUST00060,2026-05-21,completed,COD,6397
ORD000141,CUST00060,2025-10-25,completed,Card,499
ORD000142,CUST00060,2025-10-18,completed,UPI,4798
ORD000143,CUST00060,2026-01-04,completed,UPI,3197
ORD000144,CUST00061,2026-02-16,completed,NetBanking,3798
ORD000145,CUST00062,2026-01-01,completed,UPI,3999
ORD000146,CUST00063,2026-07-09,cancelled,NetBanking,3698
ORD000147,CUST00063,2026-05-03,completed,COD,3798
ORD000148,CUST00063,2025-10-02,completed,UPI,2499
ORD000149,CUST00063,2026-08-02,completed,COD,3998
ORD000150,CUST00063,2026-03-24,completed,Card,999
ORD000151,CUST00063,2026-08-14,completed,COD,1799
ORD000152,CUST00065,2026-05-26,completed,Card,1799
ORD000153,CUST00065,2026-04-21,completed,COD,2499
ORD000154,CUST00065,2025-05-11,completed,NetBanking,2499
ORD000155,CUST00067,2025-07-05,completed,Card,3798
ORD000156,CUST00068,2025-12-20,completed,UPI,2499
ORD000157,CUST00069,2025-07-25,completed,COD,1698
ORD000158,CUST00070,2025-03-29,completed,NetBanking,3897
ORD000159,CUST00070,2025-07-12,completed,NetBanking,2999
ORD000160,CUST00070,2025-06-01,completed,COD,2499
ORD000161,CUST00070,2025-11-27,completed,NetBanking,4498
ORD000162,CUST00070,2025-11-07,completed,NetBanking,1499
ORD000163,CUST00070,2025-08-18,completed,NetBanking,1499
ORD000164,CUST00070,2025-11-09,returned,COD,4298
ORD000165,CUST00072,2026-05-09,completed,Card,5297
ORD000166,CUST00072,2025-07-12,completed,NetBanking,2499
ORD000167,CUST00072,2026-04-15,returned,COD,3997
ORD000168,CUST00072,2025-08-11,cancelled,NetBanking,5298
ORD000169,CUST00073,2026-04-23,completed,UPI,1598
ORD000170,CUST00074,2026-05-12,completed,COD,3998
ORD000171,CUST00074,2025-03-05,completed,NetBanking,4797
ORD000172,CUST00074,2025-05-21,completed,COD,2499
ORD000173,CUST00074,2026-03-05,completed,Card,2498
ORD000174,CUST00075,2025-05-09,completed,COD,999
ORD000175,CUST00076,2026-01-22,completed,COD,2998
ORD000176,CUST00076,2026-06-02,completed,COD,3997
ORD000177,CUST00076,2026-02-13,completed,NetBanking,499
ORD000178,CUST00076,2026-08-02,cancelled,UPI,2998
ORD000179,CUST00077,2026-05-11,completed,Card,3398
ORD000180,CUST00079,2025-07-16,completed,COD,9497
ORD000181,CUST00080,2025-03-08,completed,COD,2998
ORD000182,CUST00080,2026-07-08,completed,Card,2998
ORD000183,CUST00082,2025-04-17,completed,Card,2999
ORD000184,CUST00082,2025-10-19,completed,NetBanking,3897
ORD000185,CUST00083,2026-07-31,completed,UPI,4498
ORD000186,CUST00084,2025-05-19,completed,Card,6498
ORD000187,CUST00084,2025-03-20,cancelled,Card,4698
ORD000188,CUST00084,2026-01-01,completed,Card,2198
ORD000189,CUST00084,2026-02-18,completed,NetBanking,4498
ORD000190,CUST00084,2026-06-25,completed,Card,4298
ORD000191,CUST00084,2025-11-20,completed,COD,3898
ORD000192,CUST00084,2025-08-16,completed,NetBanking,1799
ORD000193,CUST00084,2026-04-20,completed,UPI,3998
ORD000194,CUST00085,2025-10-18,completed,NetBanking,699
ORD000195,CUST00086,2026-06-26,completed,UPI,3198
ORD000196,CUST00086,2026-05-04,completed,NetBanking,999
ORD000197,CUST00087,2025-08-19,completed,NetBanking,1299
ORD000198,CUST00090,2025-11-23,completed,UPI,1498
ORD000199,CUST00091,2025-11-30,cancelled,COD,6998
ORD000200,CUST00092,2025-11-03,completed,COD,1299
ORD000201,CUST00093,2026-01-13,cancelled,UPI,3498
ORD000202,CUST00093,2026-08-17,completed,NetBanking,2097
ORD000203,CUST00093,2025-08-15,completed,UPI,5797
ORD000204,CUST00093,2026-02-25,completed,Card,1998
ORD000205,CUST00094,2026-04-17,completed,UPI,3398
ORD000206,CUST00095,2025-04-26,completed,Card,4698
ORD000207,CUST00095,2026-06-06,completed,UPI,5498
ORD000208,CUST00095,2025-12-16,completed,UPI,3398
ORD000209,CUST00095,2026-05-18,completed,Card,899
ORD000210,CUST00095,2026-01-08,cancelled,NetBanking,899
ORD000211,CUST00096,2026-01-22,completed,NetBanking,899
ORD000212,CUST00096,2025-08-26,completed,UPI,3498
ORD000213,CUST00097,2025-10-13,completed,Card,1198
ORD000214,CUST00098,2025-10-22,completed,UPI,4298
ORD000215,CUST00098,2026-03-19,completed,Card,2499
ORD000216,CUST00098,2026-02-19,completed,Card,2499
ORD000217,CUST00099,2025-07-14,completed,COD,6998
ORD000218,CUST00099,2025-04-25,completed,NetBanking,3798
ORD000219,CUST00101,2026-02-13,completed,NetBanking,2499
ORD000220,CUST00101,2026-03-17,completed,COD,2499
ORD000221,CUST00102,2026-08-12,completed,NetBanking,5498
ORD000222,CUST00103,2025-10-15,completed,NetBanking,5798
ORD000223,CUST00103,2026-07-23,completed,Card,4998
ORD000224,CUST00103,2026-08-10,completed,UPI,2499
ORD000225,CUST00104,2026-05-15,completed,NetBanking,5497
ORD000226,CUST00105,2025-07-13,completed,NetBanking,999
ORD000227,CUST00105,2025-04-12,completed,COD,6497
ORD000228,CUST00105,2026-05-31,completed,COD,2499
ORD000229,CUST00106,2025-03-25,cancelled,UPI,899
ORD000230,CUST00107,2025-04-15,completed,Card,3999
ORD000231,CUST00107,2025-07-31,completed,Card,1499
ORD000232,CUST00107,2025-04-09,completed,COD,5997
ORD000233,CUST00107,2026-08-03,completed,UPI,6998
ORD000234,CUST00107,2026-02-22,completed,COD,5797
ORD000235,CUST00107,2025-08-28,completed,UPI,4298
ORD000236,CUST00107,2025-06-23,completed,Card,1799
ORD000237,CUST00107,2026-06-13,completed,Card,4797
ORD000238,CUST00108,2025-04-20,completed,NetBanking,5597
ORD000239,CUST00108,2025-09-26,completed,COD,4197
ORD000240,CUST00108,2026-08-22,completed,UPI,6998
ORD000241,CUST00108,2025-05-26,completed,COD,3898
ORD000242,CUST00108,2025-09-29,returned,Card,4298
ORD000243,CUST00108,2025-03-17,completed,Card,3498
ORD000244,CUST00109,2025-11-01,completed,Card,499
ORD000245,CUST00109,2025-06-10,completed,UPI,5298
ORD000246,CUST00109,2026-03-16,completed,Card,2499
ORD000247,CUST00109,2025-11-24,completed,UPI,5498
ORD000248,CUST00109,2025-04-29,returned,Card,4897
ORD000249,CUST00109,2026-07-21,completed,COD,2798
ORD000250,CUST00110,2025-06-08,completed,UPI,2998
ORD000251,CUST00111,2025-05-21,completed,COD,1198
ORD000252,CUST00111,2025-12-10,completed,COD,1698
ORD000253,CUST00111,2025-08-04,completed,COD,2999
ORD000254,CUST00112,2025-08-08,completed,UPI,3498
ORD000255,CUST00112,2025-08-17,completed,UPI,5297
ORD000256,CUST00112,2025-09-05,completed,UPI,3398
ORD000257,CUST00112,2026-08-11,completed,NetBanking,2499
ORD000258,CUST00112,2025-05-11,completed,Card,1499
ORD000259,CUST00113,2025-10-09,completed,COD,3397
ORD000260,CUST00113,2025-09-15,completed,NetBanking,4697
ORD000261,CUST00114,2025-08-07,completed,NetBanking,3998
ORD000262,CUST00114,2026-04-07,completed,COD,2499
ORD000263,CUST00115,2025-05-18,completed,UPI,2499
ORD000264,CUST00116,2025-08-04,completed,UPI,5397
ORD000265,CUST00116,2026-03-28,completed,UPI,2499
ORD000266,CUST00116,2025-06-13,completed,Card,4298
ORD000267,CUST00116,2026-01-06,completed,Card,4498
ORD000268,CUST00116,2025-11-24,completed,UPI,6498
ORD000269,CUST00117,2026-01-14,completed,NetBanking,499
ORD000270,CUST00118,2025-06-27,completed,NetBanking,2498
ORD000271,CUST00118,2026-04-29,completed,COD,4998
ORD000272,CUST00118,2026-08-22,completed,COD,2998
ORD000273,CUST00118,2025-12-04,completed,NetBanking,7297
ORD000274,CUST00118,2025-04-25,completed,COD,3198
ORD000275,CUST00118,2025-03-04,completed,NetBanking,2998
ORD000276,CUST00118,2025-05-31,completed,COD,3999
ORD000277,CUST00119,2025-03-18,completed,UPI,2999
ORD000278,CUST00119,2025-04-16,completed,UPI,499
ORD000279,CUST00119,2025-05-23,completed,Card,3998
ORD000280,CUST00119,2026-01-24,completed,UPI,2499
ORD000281,CUST00119,2025-12-13,completed,NetBanking,3497
ORD000282,CUST00120,2026-08-03,completed,UPI,2998
ORD000283,CUST00120,2025-03-26,returned,UPI,1799
ORD000284,CUST00120,2026-05-30,completed,Card,2698
ORD000285,CUST00120,2025-09-23,completed,UPI,1499
ORD000286,CUST00120,2025-05-15,completed,NetBanking,2499
ORD000287,CUST00120,2025-03-25,completed,NetBanking,2499
ORD000288,CUST00121,2026-02-06,completed,Card,499
ORD000289,CUST00122,2026-08-14,completed,UPI,4298
ORD000290,CUST00122,2026-07-05,completed,NetBanking,2499
ORD000291,CUST00122,2025-11-05,cancelled,COD,2897
ORD000292,CUST00122,2026-02-20,completed,UPI,2698
ORD000293,CUST00122,2026-06-09,completed,COD,2298
ORD000294,CUST00123,2025-08-03,cancelled,Card,6497
ORD000295,CUST00124,2025-08-05,completed,UPI,5498
ORD000296,CUST00124,2025-11-03,completed,COD,3398
ORD000297,CUST00125,2025-04-04,completed,COD,4498
ORD000298,CUST00126,2025-07-07,completed,Card,3798
ORD000299,CUST00126,2026-03-15,completed,UPI,2897
ORD000300,CUST00126,2025-06-13,cancelled,Card,4798
ORD000301,CUST00127,2025-10-30,completed,COD,2499
ORD000302,CUST00127,2026-04-12,cancelled,UPI,6797
ORD000303,CUST00128,2025-08-25,completed,UPI,2499
ORD000304,CUST00128,2025-04-26,completed,COD,999
ORD000305,CUST00129,2025-09-14,completed,Card,2398
ORD000306,CUST00129,2025-05-29,completed,Card,3998
ORD000307,CUST00130,2026-01-05,completed,COD,899
ORD000308,CUST00130,2026-07-03,completed,NetBanking,3999
ORD000309,CUST00130,2025-11-24,completed,NetBanking,1498
ORD000310,CUST00131,2026-05-04,completed,Card,3998
ORD000311,CUST00131,2025-03-22,completed,COD,4998
ORD000312,CUST00131,2025-05-04,completed,Card,499
ORD000313,CUST00131,2025-09-11,completed,Card,1498
ORD000314,CUST00133,2026-01-19,cancelled,Card,3498
ORD000315,CUST00134,2025-10-17,completed,Card,2697
ORD000316,CUST00134,2025-07-31,completed,Card,1799
ORD000317,CUST00134,2026-03-25,completed,Card,6397
ORD000318,CUST00134,2026-01-15,completed,Card,2198
ORD000319,CUST00134,2026-05-14,completed,UPI,1499
ORD000320,CUST00134,2025-05-16,completed,UPI,3198
ORD000321,CUST00136,2026-01-23,completed,Card,6497
ORD000322,CUST00137,2026-07-07,completed,Card,2198
ORD000323,CUST00138,2025-03-17,completed,COD,2499
ORD000324,CUST00139,2025-08-20,completed,Card,3498
ORD000325,CUST00141,2025-09-11,completed,NetBanking,2499
ORD000326,CUST00142,2026-02-16,completed,COD,1799
ORD000327,CUST00143,2025-09-17,completed,Card,3898
ORD000328,CUST00143,2025-11-16,completed,COD,2499
ORD000329,CUST00144,2025-10-08,returned,COD,2499
ORD000330,CUST00144,2025-07-30,returned,Card,5798
ORD000331,CUST00144,2026-03-09,cancelled,UPI,499
ORD000332,CUST00145,2025-03-15,completed,Card,5297
ORD000333,CUST00146,2025-11-14,returned,Card,1799
ORD000334,CUST00147,2025-06-22,completed,Card,1998
ORD000335,CUST00147,2026-05-26,completed,Card,3698
ORD000336,CUST00148,2025-03-03,completed,NetBanking,2499
ORD000337,CUST00148,2025-07-20,completed,COD,3798
ORD000338,CUST00149,2025-10-01,completed,NetBanking,3898
ORD000339,CUST00149,2025-06-02,completed,UPI,2499
ORD000340,CUST00149,2026-08-08,completed,COD,1998
ORD000341,CUST00149,2025-08-25,completed,COD,2499
ORD000342,CUST00150,2025-07-16,completed,UPI,1499
ORD000343,CUST00152,2025-09-11,completed,COD,699
ORD000344,CUST00152,2026-02-02,completed,UPI,899
ORD000345,CUST00152,2025-06-23,completed,NetBanking,6797
ORD000346,CUST00152,2025-03-10,completed,UPI,3698
ORD000347,CUST00152,2026-04-03,completed,UPI,1799
ORD000348,CUST00152,2025-12-20,completed,NetBanking,2499
ORD000349,CUST00153,2025-06-06,completed,Card,4797
ORD000350,CUST00154,2025-12-28,completed,COD,3398
ORD000351,CUST00155,2025-06-10,completed,NetBanking,2999
ORD000352,CUST00156,2026-03-17,completed,NetBanking,3998
ORD000353,CUST00157,2026-07-29,completed,NetBanking,3198
ORD000354,CUST00158,2025-12-03,completed,NetBanking,1698
ORD000355,CUST00159,2025-09-20,completed,NetBanking,2499
ORD000356,CUST00159,2025-08-10,completed,COD,999
ORD000357,CUST00159,2026-05-31,completed,Card,999
ORD000358,CUST00160,2025-05-24,returned,UPI,2499
ORD000359,CUST00161,2025-11-16,cancelled,COD,1499
ORD000360,CUST00161,2025-06-29,completed,Card,1299
ORD000361,CUST00161,2026-03-12,cancelled,NetBanking,4997
ORD000362,CUST00161,2026-02-25,completed,UPI,2698
ORD000363,CUST00162,2025-09-09,completed,NetBanking,499
ORD000364,CUST00163,2026-02-03,completed,COD,4698
ORD000365,CUST00163,2025-03-01,completed,UPI,3298
ORD000366,CUST00164,2026-02-20,completed,Card,3999
ORD000367,CUST00167,2026-03-24,completed,Card,2499
ORD000368,CUST00168,2025-12-04,completed,Card,3697
ORD000369,CUST00168,2025-03-08,completed,UPI,999
ORD000370,CUST00168,2025-11-08,completed,COD,2698
ORD000371,CUST00168,2025-06-16,completed,Card,999
ORD000372,CUST00169,2025-10-03,completed,NetBanking,4498
ORD000373,CUST00169,2026-08-07,completed,COD,699
ORD000374,CUST00170,2026-04-10,completed,NetBanking,2998
ORD000375,CUST00171,2025-12-30,completed,UPI,699
ORD000376,CUST00171,2026-06-06,completed,COD,999
ORD000377,CUST00171,2026-02-15,completed,COD,3398
ORD000378,CUST00171,2025-04-01,cancelled,NetBanking,4498
ORD000379,CUST00172,2025-04-25,completed,COD,2498
ORD000380,CUST00173,2026-08-02,completed,COD,4498
ORD000381,CUST00173,2026-07-02,completed,Card,3198
ORD000382,CUST00173,2025-04-28,returned,Card,2798
ORD000383,CUST00173,2026-01-18,completed,COD,3298
ORD000384,CUST00173,2025-08-08,completed,Card,3198
ORD000385,CUST00173,2025-09-10,completed,Card,6797
ORD000386,CUST00174,2025-10-16,completed,COD,1498
ORD000387,CUST00174,2025-10-30,completed,Card,4898
ORD000388,CUST00175,2025-11-24,completed,Card,2998
ORD000389,CUST00175,2025-11-30,completed,Card,5498
ORD000390,CUST00175,2026-03-01,completed,UPI,2499
ORD000391,CUST00175,2025-04-11,completed,NetBanking,1198
ORD000392,CUST00175,2025-12-06,completed,Card,1299
ORD000393,CUST00175,2025-06-04,cancelled,COD,2499
ORD000394,CUST00175,2026-01-27,completed,Card,1299
ORD000395,CUST00176,2025-10-29,completed,NetBanking,1698
ORD000396,CUST00177,2025-11-10,completed,Card,2999
ORD000397,CUST00177,2026-04-22,completed,Card,3397
ORD000398,CUST00177,2025-07-19,completed,NetBanking,899
ORD000399,CUST00177,2026-04-25,completed,Card,1398
ORD000400,CUST00178,2026-05-09,completed,UPI,1299
ORD000401,CUST00178,2026-05-29,completed,COD,999
ORD000402,CUST00178,2025-04-08,completed,UPI,6498
ORD000403,CUST00179,2025-08-24,completed,COD,3198
ORD000404,CUST00179,2026-07-01,completed,Card,5797
ORD000405,CUST00179,2025-10-23,completed,COD,899
ORD000406,CUST00179,2025-07-29,completed,Card,6498
ORD000407,CUST00180,2026-05-02,completed,Card,2499
ORD000408,CUST00181,2026-06-18,completed,NetBanking,2499
ORD000409,CUST00181,2025-12-18,completed,Card,3298
ORD000410,CUST00181,2025-05-03,completed,Card,2499
ORD000411,CUST00183,2026-05-06,returned,NetBanking,1698
ORD000412,CUST00184,2025-07-19,completed,COD,3498
ORD000413,CUST00185,2025-08-07,completed,COD,3798
ORD000414,CUST00186,2025-10-09,completed,COD,3997
ORD000415,CUST00186,2025-03-04,completed,COD,2798
ORD000416,CUST00187,2025-04-24,returned,NetBanking,5797
ORD000417,CUST00188,2025-08-06,completed,UPI,3798
ORD000418,CUST00188,2026-03-22,completed,COD,2999
ORD000419,CUST00189,2025-05-16,completed,Card,5497
ORD000420,CUST00190,2025-05-16,completed,UPI,5797
ORD000421,CUST00190,2025-07-26,completed,NetBanking,4298
ORD000422,CUST00191,2025-12-02,completed,NetBanking,4898
ORD000423,CUST00191,2025-03-21,completed,UPI,4997
ORD000424,CUST00191,2026-03-11,completed,NetBanking,6498
ORD000425,CUST00192,2025-04-29,completed,COD,7297
ORD000426,CUST00193,2026-06-07,completed,UPI,999
ORD000427,CUST00193,2026-01-30,returned,COD,2499
ORD000428,CUST00193,2025-04-22,completed,Card,2999
ORD000429,CUST00193,2025-03-13,completed,Card,4298
ORD000430,CUST00193,2025-08-27,completed,COD,4298
ORD000431,CUST00194,2025-12-01,completed,COD,4497
ORD000432,CUST00195,2026-01-11,completed,Card,2897
ORD000433,CUST00196,2025-04-27,completed,NetBanking,3498
ORD000434,CUST00196,2025-04-10,cancelled,Card,3999
ORD000435,CUST00197,2026-06-13,cancelled,COD,3697
ORD000436,CUST00197,2026-03-24,completed,COD,5498
ORD000437,CUST00200,2025-05-30,completed,COD,3998
ORD000438,CUST00201,2026-08-11,completed,UPI,2499
ORD000439,CUST00201,2025-10-03,cancelled,NetBanking,999
ORD000440,CUST00202,2025-04-16,completed,COD,2999
ORD000441,CUST00202,2025-10-01,completed,COD,2999
ORD000442,CUST00202,2025-06-20,completed,NetBanking,2499
ORD000443,CUST00202,2025-05-12,returned,Card,6397
ORD000444,CUST00202,2025-08-17,completed,Card,999
ORD000445,CUST00202,2025-04-23,completed,UPI,2697
ORD000446,CUST00202,2025-08-07,completed,Card,2198
ORD000447,CUST00202,2025-03-09,completed,UPI,2798
ORD000448,CUST00203,2025-07-23,returned,COD,3997
ORD000449,CUST00204,2026-01-07,completed,NetBanking,4498
ORD000450,CUST00204,2026-06-29,returned,Card,4698
ORD000451,CUST00204,2026-07-25,completed,Card,2499
ORD000452,CUST00204,2026-05-08,completed,COD,2398
ORD000453,CUST00204,2026-06-25,completed,Card,3198
ORD000454,CUST00204,2025-12-10,completed,UPI,1398
ORD000455,CUST00206,2026-01-31,returned,NetBanking,6697
ORD000456,CUST00207,2026-03-21,completed,NetBanking,3999
ORD000457,CUST00207,2026-08-23,completed,UPI,3498
ORD000458,CUST00207,2025-05-11,returned,COD,1798
ORD000459,CUST00208,2025-03-29,completed,NetBanking,1499
ORD000460,CUST00209,2025-10-24,completed,Card,3198
ORD000461,CUST00209,2025-04-24,completed,COD,3098
ORD000462,CUST00209,2025-08-13,completed,UPI,999
ORD000463,CUST00210,2025-06-16,completed,COD,2499
ORD000464,CUST00211,2025-09-07,completed,NetBanking,4998
ORD000465,CUST00212,2026-02-19,completed,COD,1498
ORD000466,CUST00212,2026-01-28,completed,Card,2499
ORD000467,CUST00213,2026-02-10,completed,NetBanking,4997
ORD000468,CUST00214,2026-04-04,completed,Card,699
ORD000469,CUST00216,2025-12-19,completed,UPI,2499
ORD000470,CUST00216,2025-10-12,completed,Card,4298
ORD000471,CUST00217,2025-10-01,completed,NetBanking,2498
ORD000472,CUST00219,2025-07-08,completed,COD,2798
ORD000473,CUST00219,2026-02-10,completed,UPI,2998
ORD000474,CUST00220,2026-07-31,returned,UPI,2298
ORD000475,CUST00221,2026-04-21,completed,Card,3698
ORD000476,CUST00222,2026-02-14,completed,COD,2499
ORD000477,CUST00222,2026-07-25,completed,NetBanking,1198
ORD000478,CUST00222,2026-06-25,completed,NetBanking,1798
ORD000479,CUST00222,2026-06-02,cancelled,NetBanking,3798
ORD000480,CUST00222,2026-02-09,completed,UPI,2298
ORD000481,CUST00222,2025-12-26,completed,NetBanking,1499
